public_information, excess_demand
57, -13
28, -1
99, -11
7, 5
110, 3
75, -7
106, -13
126, -27
125, 1
37, -13
18, -1
68, 15
45, 5
13, -13
12, 15
108, -15
5, 1
59, 15
12, 13
70, -3
25, -5
2, -21
97, -5
13, -11
59, 15
95, -17
41, -21
62, 3
76, 5
33, 3
35, -5
99, 1
70, -3
43, -1
117, 15
117, 13
84, 13
35, -11
33, -1
110, 3
43, -1
15, -21
0, -7
38, -11
104, -13
115, -11
39, -1
33, -1
37, -7
71, -3
38, -9
117, 3
112, -21
25, -11
41, -15
120, -25
43, -7
49, -1
0, -3
19, -1
85, -13
22, 3
95, -19
30, -25
24, -1
25, 1
13, -9
35, -5
92, -7
110, 1
45, -5
119, -7
101, -17
65, 17
69, 21
103, -5
50, -15
5, 3
7, 9
25, 7
91, -1
109, -15
32, -5
113, 1
21, 5
15, -9
66, 11
11, 1
30, -3
4, -3
75, -7
100, -11
67, -19
100, -9
35, 13
97, 9
118, -3
32, 3
6, -7
59, 5
55, 15
2, -5
125, 11
26, 9
30, 1
113, -5
111, 9
31, 11
116, 15
80, 7
32, -3
10, 19
45, -9
113, -7
100, -11
90, 13
125, 11
62, -3
32, -3
87, 13
67, -15
97, 9
86, -5
113, -1
61, 3
86, 15
109, -11
40, -11
30, 1
24, 7
12, 3
44, -5
121, -1
50, 3
27, -7
91, 19
110, 5
7, 17
42, 5
86, 13
115, -7
109, -7
34, -1
78, -15
60, 17
62, -5
40, -11
45, 5
4, 1
23, -21
78, -35
114, -3
13, 5
100, -13
83, 13
97, 3
52, -23
21, 1
38, 3
12, 5
88, 7
98, -25
31, 7
37, 13
121, -1
40, -3
39, -3
67, -11
22, -1
39, -1
87, 11
74, -3
116, 11
83, 17
74, 15
47, 21
47, 25
122, -13
98, -7
33, -9
122, -1
104, -5
19, -5
40, -1
75, -3
66, -1
35, 25
74, -3
112, -17
25, 5
95, -3
14, -1
35, 23
81, 7
98, -9
19, 7
32, 1
101, 9
